School,CountyReport,Number_of_Total_Cases,ReportDate,Time
Crofton High School,Anne Arundel,10,10/6/2021,15:00:00+00
Crofton Middle School,Anne Arundel,2,10/6/2021,15:00:00+00
Crofton Woods Elementary School,Anne Arundel,2,10/6/2021,15:00:00+00
Damascus High School,Montgomery,3,10/6/2021,15:00:00+00
Diamond Elementary School,Montgomery,3,10/6/2021,15:00:00+00
Dr. Nathan A. Pitts-Ashburton Elementary/Middle School,Baltimore City,10,10/6/2021,15:00:00+00
Dublin Elementary School,Harford,4,10/6/2021,15:00:00+00
Dulaney High School,Baltimore,2,10/6/2021,15:00:00+00
Dynard Elementary School,St. Mary's,2,10/6/2021,15:00:00+00
Easton Elementary School,Talbot,3,10/6/2021,15:00:00+00
Ebb Valley Elementary School,Carroll,2,10/6/2021,15:00:00+00
Elmwood Elementary School,Baltimore,4,10/6/2021,15:00:00+00
Esperanza Middle School,St. Mary's,15,10/6/2021,15:00:00+00
Federalsburg Elementary School,Caroline,8,10/6/2021,15:00:00+00
Forbush School at Hunt Valley (Sheppard Pratt),Baltimore,2,10/6/2021,15:00:00+00
Fort Hill High School,Allegany,29,10/6/2021,15:00:00+00
Friends School of Baltimore,Baltimore City,39,10/6/2021,15:00:00+00
Gilpin Manor Elementary School,Cecil,2,10/6/2021,15:00:00+00
Good Shepard Catholic School,Cecil,5,10/6/2021,15:00:00+00
Grange Elementary School,Baltimore,2,10/6/2021,15:00:00+00
Great Mills High School,St. Mary's,34,10/6/2021,15:00:00+00
Greenview Knolls Elementary School,St. Mary's,2,10/6/2021,15:00:00+00
Greenwood Elementary School,Somerset,11,10/6/2021,15:00:00+00
Halethorpe Elementary School,Baltimore,2,10/6/2021,15:00:00+00
Hancock Middle-Senior High School,Washington,6,10/6/2021,15:00:00+00
Harford Technical High School,Harford,17,10/6/2021,15:00:00+00
Havre de Grace Elementary School,Harford,9,10/6/2021,15:00:00+00
Havre de Grace High School,Harford,2,10/6/2021,15:00:00+00
High Point Elementary School,Anne Arundel,2,10/6/2021,15:00:00+00
Hollywood Elementary School,St. Mary's,4,10/6/2021,15:00:00+00
Howard High School,Howard,5,10/6/2021,15:00:00+00
James M. Bennett High School,Wicomico,4,10/6/2021,15:00:00+00
Jemicy School,Baltimore,2,10/6/2021,15:00:00+00
John Archer School,Harford,2,10/6/2021,15:00:00+00
Joppatowne Elementary School,Harford,4,10/6/2021,15:00:00+00
Kennard Elementary School,Queen Anne's,4,10/6/2021,15:00:00+00
Kent Island Elementary School,Queen Anne's,6,10/6/2021,15:00:00+00
Kent Island High School,Queen Anne's,7,10/6/2021,15:00:00+00
Kingsville Elementary School,Baltimore,3,10/6/2021,15:00:00+00
La Plata High School,Charles,4,10/6/2021,15:00:00+00
Landon School,Montgomery,8,10/6/2021,15:00:00+00
Laurel Woods Elementary School,Howard,4,10/6/2021,15:00:00+00
Leonardtown High School,St. Mary's,71,10/6/2021,15:00:00+00
Leonardtown Middle School,St. Mary's,22,10/6/2021,15:00:00+00
Lexington Park Elementary School,St. Mary's,2,10/6/2021,15:00:00+00
Living Hope Christian School,Somerset,11,10/6/2021,15:00:00+00
Logan Elementary School,Baltimore,3,10/6/2021,15:00:00+00
Lutherville Laboratory,Baltimore,3,10/6/2021,15:00:00+00
Magothy River Middle School,Anne Arundel,4,10/6/2021,15:00:00+00
Margaret Brent Middle School,St. Mary's,62,10/6/2021,15:00:00+00
Marley Elementary School,Anne Arundel,7,10/6/2021,15:00:00+00
Maryland International School of Sustainability and Technology,Washington,7,10/6/2021,15:00:00+00
Mattawoman Middle School,Charles,5,10/6/2021,15:00:00+00
McDonogh School,Baltimore,2,10/6/2021,15:00:00+00
Mechanicsville Elementary School,Carroll,3,10/6/2021,15:00:00+00
Middletown High School,Frederick,2,10/6/2021,15:00:00+00
Monarch Global Academy,Anne Arundel,9,10/6/2021,15:00:00+00
Monsignor Slade Catholic School,Anne Arundel,10,10/6/2021,15:00:00+00
Mount Airy Middle School,Carroll,2,10/6/2021,15:00:00+00
Mount View Middle School,Howard,5,10/6/2021,15:00:00+00
Mountain Ridge High School,Allegany,21,10/6/2021,15:00:00+00
New Life Christian School,Frederick,8,10/6/2021,15:00:00+00
New Town High School,Baltimore,7,10/6/2021,15:00:00+00
North Bethesda Middle School,Montgomery,16,10/6/2021,15:00:00+00
North Caroline High School,Caroline,7,10/6/2021,15:00:00+00
North County High School,Anne Arundel,2,10/6/2021,15:00:00+00
North Dorchester High School,Dorchester,20,10/6/2021,15:00:00+00
North Dorchester Middle School,Dorchester,20,10/6/2021,15:00:00+00
Northeast Middle School,Cecil,30,10/6/2021,15:00:00+00
North Hagerstown High School,Washington,4,10/6/2021,15:00:00+00
Northeast High School,Anne Arundel,25,10/6/2021,15:00:00+00
Northeast Middle School,Anne Arundel,11,10/6/2021,15:00:00+00
Northern Middle School,Washington,18,10/6/2021,15:00:00+00
Northwest Middle School,Carroll,27,10/6/2021,15:00:00+00
Oakdale Middle School,Frederick,6,10/6/2021,15:00:00+00
Oakleigh Elementary School,Baltimore,2,10/6/2021,15:00:00+00
Oakville Elementary School,St. Mary's,2,10/6/2021,15:00:00+00
Oakwood Elementary School,Anne Arundel,5,10/6/2021,15:00:00+00
Old Mill High School,Anne Arundel,2,10/6/2021,15:00:00+00
Old Mill Middle School,Anne Arundel,18,10/6/2021,15:00:00+00
Orchard Grove Elementary School,Frederick,11,10/6/2021,15:00:00+00
Parkside High School,Wicomico,27,10/6/2021,15:00:00+00
Patapsco High School,Baltimore,6,10/6/2021,15:00:00+00
Perry Hall Christian School,Baltimore,6,10/6/2021,15:00:00+00
Perryville High School,Cecil,8,10/6/2021,15:00:00+00
Phelps Luck Elementary School,Howard,9,10/6/2021,15:00:00+00
Pimlico Elementary Middle School,Baltimore City,11,10/6/2021,15:00:00+00
Piney Point Elementary School,St. Mary's,36,10/6/2021,15:00:00+00
Pocomoke Elementary School,Worcester,6,10/6/2021,15:00:00+00
Poolesville Elementary School,Montgomery,4,10/6/2021,15:00:00+00
Pretty Boy Elementary,Baltimore,2,10/6/2021,15:00:00+00
Reservoir High School,Howard,7,10/6/2021,15:00:00+00
Rising Sun Middle School,Cecil,7,10/6/2021,15:00:00+00
Robert Frost Middle School,Montgomery,3,10/6/2021,15:00:00+00
Running Brook Elementary School,Howard,4,10/6/2021,15:00:00+00
Seaside Christian Academy,Worcester,7,10/6/2021,15:00:00+00
Severn Elementary School,Anne Arundel,4,10/6/2021,15:00:00+00
Shady Spring Elementary School,Baltimore,11,10/6/2021,15:00:00+00
Shiloh Middle School,Carroll,2,10/6/2021,15:00:00+00
Shiloh Middle School,Carroll,2,10/6/2021,15:00:00+00
Showell Elementary School,Worcester,18,10/6/2021,15:00:00+00
Snow Hill Middle School,Worcester,24,10/6/2021,15:00:00+00
Solley Elementary School,Anne Arundel,3,10/6/2021,15:00:00+00
Somerset Intermediate School,Somerset,15,10/6/2021,15:00:00+00
South Hampton Middle School,Harford,4,10/6/2021,15:00:00+00
Southern Middle School,Garrett,3,10/6/2021,15:00:00+00
Southern Middle School,Anne Arundel,9,10/6/2021,15:00:00+00
Spring Ridge Middle School,St. Mary's,29,10/6/2021,15:00:00+00
St Margaret Middle School,Harford,4,10/6/2021,15:00:00+00
St. Jerome Academy,Prince George's,20,10/6/2021,15:00:00+00
St. Margaret School,Harford,5,10/6/2021,15:00:00+00
St. Mary's School,Charles,2,10/6/2021,15:00:00+00
St. Michael's Elementary School,Talbot,2,10/6/2021,15:00:00+00
St. Paul's Lutheran School,Baltimore,8,10/6/2021,15:00:00+00
St. Ursula Catholic School,Baltimore,33,10/6/2021,15:00:00+00
Stemmers Run Middle School,Baltimore,4,10/6/2021,15:00:00+00
T.C. Martin Elementary School,Charles,17,10/6/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,36,10/6/2021,15:00:00+00
The Arrow School of Education,Baltimore,3,10/6/2021,15:00:00+00
The Children's Guild School of Prince George's Campus,Prince George's,9,10/6/2021,15:00:00+00
The Historic Cherry Hill Elementary and Middle School,Baltimore City,6,10/6/2021,15:00:00+00
The John Carroll School,Harford,2,10/6/2021,15:00:00+00
Thurmont Middle School,Frederick,20,10/6/2021,15:00:00+00
Tri-State Christian Academy,Cecil,12,10/6/2021,15:00:00+00
Tuscarora Elementary School,Frederick,6,10/6/2021,15:00:00+00
Villa Maria School,Baltimore,4,10/6/2021,15:00:00+00
Walkersville Middle School,Frederick,5,10/6/2021,15:00:00+00
Washington High School,Somerset,13,10/6/2021,15:00:00+00
Wellwood International School,Baltimore,5,10/6/2021,15:00:00+00
West Friendship Elementary School,Howard,3,10/6/2021,15:00:00+00
Western Heights Middle,Washington,23,10/6/2021,15:00:00+00
White Marsh Elementary School,St. Mary's,4,10/6/2021,15:00:00+00
Wilde Lake Middle School,Howard,5,10/6/2021,15:00:00+00
Williamsport High School,Washington,26,10/6/2021,15:00:00+00
Woodbridge Elementary School,Baltimore,2,10/6/2021,15:00:00+00
Worthington Elementary School,Howard,7,10/6/2021,15:00:00+00
Accident Elementary School,Garrett,2,10/13/2021,15:00:00+00
Allegany High School,Allegany,27,10/13/2021,15:00:00+00
Alphabet Education Inc at Mary B Neal Elementary,Charles,2,10/13/2021,15:00:00+00
Annapolis Area Christian School - Lower School Annapolis,Anne Arundel,3,10/13/2021,15:00:00+00
Annapolis Area Christian School - Severn Campus Lower School,Anne Arundel,5,10/13/2021,15:00:00+00
Beach Elementary School,Calvert,3,10/13/2021,15:00:00+00
Bel Air Elementary School,Allegany,3,10/13/2021,15:00:00+00
Benjamin Foulois Creative & Performing Arts Academy,Prince George's,11,10/13/2021,15:00:00+00
Bethesda-Chevy Chase High School,Montgomery,2,10/13/2021,15:00:00+00
Bodkin Elementary School,Anne Arundel,4,10/13/2021,15:00:00+00
Bohemia Manor High School,Cecil,3,10/13/2021,15:00:00+00
Braddock Middle School,Allegany,23,10/13/2021,15:00:00+00
Bridgeway Elementary School,Anne Arundel,2,10/13/2021,15:00:00+00
Brooklyn Park Middle School,Anne Arundel,3,10/13/2021,15:00:00+00
The Bryn Mawr School,Baltimore City,6,10/13/2021,15:00:00+00
Buckingham Elementary School,Worcester,6,10/13/2021,15:00:00+00
Calvert Hall College High School,Baltimore,10,10/13/2021,15:00:00+00
Calvin M. Rodwell Elementary/Middle School,Baltimore City,6,10/13/2021,15:00:00+00
Captain Walter Francis Duke Middle School,St. Mary's,8,10/13/2021,15:00:00+00
Cardinal Shehan School,Baltimore City,6,10/13/2021,15:00:00+00
Career Center for Technical Education,Allegany,29,10/13/2021,15:00:00+00
Carter G.  Woodson Elementary School,Somerset,39,10/13/2021,15:00:00+00
Catoctin High School,Frederick,20,10/13/2021,15:00:00+00
Caver Vocational High School,Baltimore City,5,10/13/2021,15:00:00+00
Chesapeake Bay Middle School,Anne Arundel,15,10/13/2021,15:00:00+00
Chesapeake City Elementary School,Cecil,9,10/13/2021,15:00:00+00
Chesapeake High School,Anne Arundel,40,10/13/2021,15:00:00+00
Clear Springs High School,Washington,6,10/13/2021,15:00:00+00
Clemens Crossing Elementary School,Howard,3,10/13/2021,15:00:00+00
Cockeysville Middle School,Baltimore,2,10/13/2021,15:00:00+00
Columbia Academy Elementary and Middle School,Howard,3,10/13/2021,15:00:00+00
Crisfield High School,Somerset,15,10/13/2021,15:00:00+00
Crofton High School,Anne Arundel,16,10/13/2021,15:00:00+00
Crofton Middle School,Anne Arundel,2,10/13/2021,15:00:00+00
Deerfield Elementary School,Harford,4,10/13/2021,15:00:00+00
Diamond Elementary School,Montgomery,3,10/13/2021,15:00:00+00
Dr. Nathan A. Pitts-Ashburton Elementary/Middle School,Baltimore City,11,10/13/2021,15:00:00+00
Dr. Thomas L. Higdon Elementary School,Charles,4,10/13/2021,15:00:00+00
Dublin Elementary School,Harford,4,10/13/2021,15:00:00+00
Easton Elementary School,Talbot,3,10/13/2021,15:00:00+00
Elmwood Elementary School,Baltimore,4,10/13/2021,15:00:00+00
Emma K. Doub Elementary School,Washington,4,10/13/2021,15:00:00+00
Emmitsburg Elementary School,Frederick,4,10/13/2021,15:00:00+00
Esperanza Middle School,St. Mary's,15,10/13/2021,15:00:00+00
Federalsburg Elementary School,Caroline,8,10/13/2021,15:00:00+00
Forbush School at Hunt Valley (Sheppard Pratt),Baltimore,3,10/13/2021,15:00:00+00
Fort Hill High School,Allegany,33,10/13/2021,15:00:00+00
Francis Scott Key Elementary School,Carroll,16,10/13/2021,15:00:00+00
Frederick High School,Frederick,4,10/13/2021,15:00:00+00
Friends School of Baltimore,Baltimore City,40,10/13/2021,15:00:00+00
Garrison Forest School,Baltimore,2,10/13/2021,15:00:00+00
Gilpin Manor Elementary School,Cecil,2,10/13/2021,15:00:00+00
Good Shepard Catholic School,Cecil,5,10/13/2021,15:00:00+00
Great Mills High School,St. Mary's,44,10/13/2021,15:00:00+00
Greenwood Elementary School,Somerset,13,10/13/2021,15:00:00+00
Halethorpe Elementary School,Baltimore,2,10/13/2021,15:00:00+00
Hancock Middle-Senior High School,Washington,8,10/13/2021,15:00:00+00
Harford Technical High School,Harford,4,10/13/2021,15:00:00+00
Havre de Grace Elementary School,Harford,11,10/13/2021,15:00:00+00
Havre de Grace High School,Harford,2,10/13/2021,15:00:00+00
Hickory Elementary School,Harford,2,10/13/2021,15:00:00+00
Homestead Wakefield Elementary School,Harford,6,10/13/2021,15:00:00+00
Howard High School,Howard,5,10/13/2021,15:00:00+00
James M. Bennett High School,Wicomico,4,10/13/2021,15:00:00+00
John Archer School,Harford,2,10/13/2021,15:00:00+00
Joppatowne Elementary School,Harford,4,10/13/2021,15:00:00+00
Kent Island High School,Queen Anne's,9,10/13/2021,15:00:00+00
La Plata High School,Charles,4,10/13/2021,15:00:00+00
Leonardtown High School,St. Mary's,71,10/13/2021,15:00:00+00
Leonardtown Middle School,St. Mary's,22,10/13/2021,15:00:00+00
Lexington Park Elementary School,St. Mary's,2,10/13/2021,15:00:00+00
Logan Elementary School,Baltimore,3,10/13/2021,15:00:00+00
Lothian Elementary,Anne Arundel,3,10/13/2021,15:00:00+00
Lutherville Laboratory,Baltimore,3,10/13/2021,15:00:00+00
Margaret Brent Middle School,St. Mary's,83,10/13/2021,15:00:00+00
Mattawoman Middle School,Charles,5,10/13/2021,15:00:00+00
McDonogh School,Baltimore,4,10/13/2021,15:00:00+00
Mechanicsville Elementary School,Carroll,3,10/13/2021,15:00:00+00
Middletown High School,Frederick,7,10/13/2021,15:00:00+00
Monarch Global Academy,Anne Arundel,13,10/13/2021,15:00:00+00
Monocacy Valley Montessori Public Charter School,Frederick,2,10/13/2021,15:00:00+00
Mother Mary Lange Catholic School,Baltimore City,3,10/13/2021,15:00:00+00
Mount Airy Middle School,Carroll,2,10/13/2021,15:00:00+00
Mount View Middle School,Howard,5,10/13/2021,15:00:00+00
Mountain Ridge High School,Allegany,24,10/13/2021,15:00:00+00
North Bend Elementary School,Harford,2,10/13/2021,15:00:00+00
North Caroline High School,Caroline,7,10/13/2021,15:00:00+00
North Dorchester High School,Dorchester,21,10/13/2021,15:00:00+00
North Dorchester Middle School,Dorchester,22,10/13/2021,15:00:00+00
North East Elementary School,Cecil,2,10/13/2021,15:00:00+00
Northeast Middle School,Cecil,30,10/13/2021,15:00:00+00
North Hagerstown High School,Washington,4,10/13/2021,15:00:00+00
Northeast High School,Anne Arundel,30,10/13/2021,15:00:00+00
Northeast Middle School,Anne Arundel,19,10/13/2021,15:00:00+00
Northern Middle School,Washington,20,10/13/2021,15:00:00+00
Northwest Middle School,Carroll,29,10/13/2021,15:00:00+00
Oakleigh Elementary School,Baltimore,2,10/13/2021,15:00:00+00
Oakville Elementary School,St. Mary's,7,10/13/2021,15:00:00+00
Oakwood Elementary School,Anne Arundel,5,10/13/2021,15:00:00+00
Old Mill Middle School - North,Anne Arundel,14,10/13/2021,15:00:00+00
Old Mill Middle School - South,Anne Arundel,20,10/13/2021,15:00:00+00
Orchard Grove Elementary School,Frederick,15,10/13/2021,15:00:00+00
Parkside High School,Wicomico,32,10/13/2021,15:00:00+00
Patuxent Appeal Elementary School,Calvert,2,10/13/2021,15:00:00+00
Perry Hall Christian School,Baltimore,6,10/13/2021,15:00:00+00
Perryville High School,Cecil,18,10/13/2021,15:00:00+00
Phelps Luck Elementary School,Howard,9,10/13/2021,15:00:00+00
Pimlico Elementary Middle School,Baltimore City,12,10/13/2021,15:00:00+00
Piney Point Elementary School,St. Mary's,39,10/13/2021,15:00:00+00
Pocomoke Elementary School,Worcester,7,10/13/2021,15:00:00+00
Pocomoke High School,Worcester,6,10/13/2021,15:00:00+00
Point Pleasant Elementary School,Anne Arundel,3,10/13/2021,15:00:00+00
Poolesville Elementary School,Montgomery,4,10/13/2021,15:00:00+00
Pretty Boy Elementary,Baltimore,2,10/13/2021,15:00:00+00
Reservoir High School,Howard,7,10/13/2021,15:00:00+00
Ridge Elementary School,St. Mary's,3,10/13/2021,15:00:00+00
Rising Sun Middle School,Cecil,7,10/13/2021,15:00:00+00
Running Brook Elementary School,Howard,4,10/13/2021,15:00:00+00
Seaside Christian Academy,Worcester,10,10/13/2021,15:00:00+00
Shiloh Middle School,Carroll,2,10/13/2021,15:00:00+00
Shiloh Middle School,Carroll,2,10/13/2021,15:00:00+00
Showell Elementary School,Worcester,19,10/13/2021,15:00:00+00
Snow Hill Middle School,Worcester,24,10/13/2021,15:00:00+00
Somerset Intermediate School,Somerset,26,10/13/2021,15:00:00+00
South River High School,Anne Arundel,2,10/13/2021,15:00:00+00
Spring Ridge Middle School,St. Mary's,42,10/13/2021,15:00:00+00
St. Charles High School,Charles,4,10/13/2021,15:00:00+00
St. Jerome Academy,Prince George's,20,10/13/2021,15:00:00+00
St. John the Evangelist Catholic School,Baltimore,7,10/13/2021,15:00:00+00
St. Louis School,Howard,3,10/13/2021,15:00:00+00
St. Mary's School,Charles,2,10/13/2021,15:00:00+00
St. Michael's Elementary School,Talbot,2,10/13/2021,15:00:00+00
St. Michael's Elementary School,St. Mary's,2,10/13/2021,15:00:00+00
St. Ursula Catholic School,Baltimore,36,10/13/2021,15:00:00+00
Stephen Decatur High School,Wicomico,4,10/13/2021,15:00:00+00
Sudersville Middle School,Queen Anne's,6,10/13/2021,15:00:00+00
Sugarloaf Elementary School,Frederick,3,10/13/2021,15:00:00+00
T.C. Martin Elementary School,Charles,17,10/13/2021,15:00:00+00
Talbott Springs Elementary School,Howard,4,10/13/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,37,10/13/2021,15:00:00+00
The Arrow School of Education,Baltimore,3,10/13/2021,15:00:00+00
The Children's Guild School of Prince George's Campus,Prince George's,9,10/13/2021,15:00:00+00
The Historic Cherry Hill Elementary and Middle School,Baltimore City,6,10/13/2021,15:00:00+00
The John Carroll School,Harford,2,10/13/2021,15:00:00+00
Thomson Estates Elementary School,Cecil,1,10/13/2021,15:00:00+00
Tuscarora Elementary School,Frederick,6,10/13/2021,15:00:00+00
Villa Maria School,Baltimore,6,10/13/2021,15:00:00+00
Walkersville Middle School,Frederick,7,10/13/2021,15:00:00+00
Washington High School,Somerset,17,10/13/2021,15:00:00+00
Wellwood International School,Baltimore,5,10/13/2021,15:00:00+00
West Friendship Elementary School,Howard,3,10/13/2021,15:00:00+00
West Side Elementary School,Allegany,2,10/13/2021,15:00:00+00
Western Heights Middle,Washington,24,10/13/2021,15:00:00+00
White Marsh Elementary School,St. Mary's,4,10/13/2021,15:00:00+00
William Winchester Elementary School,Carroll,2,10/13/2021,15:00:00+00
Williamsport High School,Washington,31,10/13/2021,15:00:00+00
Windsor Farm Elementary School,Anne Arundel,2,10/13/2021,15:00:00+00
Woodbridge Elementary School,Baltimore,2,10/13/2021,15:00:00+00
Woodside Elementary School,Anne Arundel,2,10/13/2021,15:00:00+00
Yough Glades Elementary School,Garrett,5,10/13/2021,15:00:00+00
Allegany High School,Allegany,29,10/20/2021,15:00:00+00
Alphabet Education Inc at Mary B Neal Elementary,Charles,2,10/20/2021,15:00:00+00
Annapolis Area Christian School - Lower School Annapolis,Anne Arundel,3,10/20/2021,15:00:00+00
Annapolis Area Christian School - Lower School Severn,Anne Arundel,5,10/20/2021,15:00:00+00
Arbutus Middle School,Baltimore,3,10/20/2021,15:00:00+00
Arundel High School,Anne Arundel,2,10/20/2021,15:00:00+00
Baltimore International Academy - East,Baltimore City,12,10/20/2021,15:00:00+00
Barstow Elementary School,Calvert,2,10/20/2021,15:00:00+00
Bel Air Elementary School,Allegany,3,10/20/2021,15:00:00+00
Benjamin Foulois Creative & Performing Arts Academy,Prince George's,11,10/20/2021,15:00:00+00
Bodkin Elementary School,Anne Arundel,4,10/20/2021,15:00:00+00
Braddock Middle School,Allegany,24,10/20/2021,15:00:00+00
Brunswick Elementary School,Frederick,4,10/20/2021,15:00:00+00
Buckingham Elementary School,Worcester,11,10/20/2021,15:00:00+00
Captain Walter Francis Duke Middle School,St. Mary's,14,10/20/2021,15:00:00+00
Cardinal Shehan School,Baltimore City,6,10/20/2021,15:00:00+00
Career Center for Technical Education,Allegany,30,10/20/2021,15:00:00+00
Carter G.  Woodson Elementary School,Somerset,42,10/20/2021,15:00:00+00
Cash Valley Elementary School,Allegany,2,10/20/2021,15:00:00+00
Catoctin High School,Frederick,26,10/20/2021,15:00:00+00
Chesapeake Bay Middle School,Anne Arundel,15,10/20/2021,15:00:00+00
Chesapeake High School,Anne Arundel,40,10/20/2021,15:00:00+00
Columbia Academy Elementary and Middle School,Howard,3,10/20/2021,15:00:00+00
Crisfield High School,Somerset,22,10/20/2021,15:00:00+00
Crofton High School,Anne Arundel,16,10/20/2021,15:00:00+00
Deerfield Elementary School,Harford,4,10/20/2021,15:00:00+00
Diamond Elementary School,Montgomery,3,10/20/2021,15:00:00+00
Dowell Elementary School,Calvert,3,10/20/2021,15:00:00+00
Dr. Nathan A. Pitts-Ashburton Elementary/Middle School,Baltimore City,11,10/20/2021,15:00:00+00
Dr. Thomas L. Higdon Elementary School,Charles,4,10/20/2021,15:00:00+00
Dublin Elementary School,Harford,4,10/20/2021,15:00:00+00
Easton Elementary School,Talbot,3,10/20/2021,15:00:00+00
Edgemere Elementary School,Baltimore,2,10/20/2021,15:00:00+00
Esperanza Middle School,St. Mary's,33,10/20/2021,15:00:00+00
Fallston High School,Harford,2,10/20/2021,15:00:00+00
"Father Andrew White, S.J. School",St. Mary's,3,10/20/2021,15:00:00+00
Fort Hill High School,Allegany,38,10/20/2021,15:00:00+00
Frank Hebron Harman Elementary,Anne Arundel,3,10/20/2021,15:00:00+00
Franklin Square Elementary School,Baltimore City,5,10/20/2021,15:00:00+00
Friends School of Baltimore,Baltimore City,41,10/20/2021,15:00:00+00
Garnet Elementary School,Kent,2,10/20/2021,15:00:00+00
Gilpin Manor Elementary School,Cecil,2,10/20/2021,15:00:00+00
Great Mills High School,St. Mary's,55,10/20/2021,15:00:00+00
Greenwood Elementary School,Somerset,15,10/20/2021,15:00:00+00
Hancock Middle-Senior High School,Washington,8,10/20/2021,15:00:00+00
Havre de Grace Elementary School,Harford,11,10/20/2021,15:00:00+00
Hickory Elementary School,Harford,4,10/20/2021,15:00:00+00
Hollywood Elementary School,St. Mary's,6,10/20/2021,15:00:00+00
Homestead Wakefield Elementary School,Harford,6,10/20/2021,15:00:00+00
Honeygo Elementary School,Baltimore,2,10/20/2021,15:00:00+00
Indian Creek School,Anne Arundel,4,10/20/2021,15:00:00+00
Joppatowne Elementary School,Harford,4,10/20/2021,15:00:00+00
Kenwood High School,Baltimore,3,10/20/2021,15:00:00+00
Kings Christian Academy,St. Mary's,3,10/20/2021,15:00:00+00
La Plata High School,Charles,8,10/20/2021,15:00:00+00
Leonardtown High School,St. Mary's,72,10/20/2021,15:00:00+00
Leonardtown Middle School,St. Mary's,22,10/20/2021,15:00:00+00
Lexington Park Elementary School,St. Mary's,2,10/20/2021,15:00:00+00
Logan Elementary School,Baltimore,3,10/20/2021,15:00:00+00
Margaret Brent Middle School,St. Mary's,89,10/20/2021,15:00:00+00
Mattawoman Middle School,Charles,5,10/20/2021,15:00:00+00
McDonogh School,Baltimore,4,10/20/2021,15:00:00+00
Middletown High School,Frederick,8,10/20/2021,15:00:00+00
Mill Creek Middle School,Calvert,3,10/20/2021,15:00:00+00
Monarch Global Academy,Anne Arundel,13,10/20/2021,15:00:00+00
Mother Mary Lange Catholic School,Baltimore City,3,10/20/2021,15:00:00+00
Mount Airy Middle School,Carroll,2,10/20/2021,15:00:00+00
Mountain Ridge High School,Allegany,28,10/20/2021,15:00:00+00
North Bend Elementary School,Harford,2,10/20/2021,15:00:00+00
North Caroline High School,Caroline,7,10/20/2021,15:00:00+00
North Dorchester High School,Dorchester,21,10/20/2021,15:00:00+00
North Dorchester Middle School,Dorchester,24,10/20/2021,15:00:00+00
North East Elementary School,Cecil,2,10/20/2021,15:00:00+00
Northeast Middle School,Cecil,34,10/20/2021,15:00:00+00
North Hagerstown High School,Washington,9,10/20/2021,15:00:00+00
Northeast High School,Anne Arundel,30,10/20/2021,15:00:00+00
Northeast Middle School,Anne Arundel,20,10/20/2021,15:00:00+00
Northern Middle School,Washington,23,10/20/2021,15:00:00+00
Northwest Middle School,Carroll,29,10/20/2021,15:00:00+00
Oakland Mills Middle School,Howard,2,10/20/2021,15:00:00+00
Oakville Elementary School,St. Mary's,16,10/20/2021,15:00:00+00
Odenton Elementary School,Anne Arundel,2,10/20/2021,15:00:00+00
Orchard Grove Elementary School,Frederick,17,10/20/2021,15:00:00+00
Parkside High School,Wicomico,33,10/20/2021,15:00:00+00
Parkville Middle School,Baltimore,3,10/20/2021,15:00:00+00
Patuxent Appeal Elementary School,Calvert,3,10/20/2021,15:00:00+00
Perryville High School,Cecil,22,10/20/2021,15:00:00+00
Perryville Middle School,Cecil,7,10/20/2021,15:00:00+00
Pimlico Elementary Middle School,Baltimore City,12,10/20/2021,15:00:00+00
Piney Point Elementary School,St. Mary's,42,10/20/2021,15:00:00+00
Pocomoke High School,Worcester,6,10/20/2021,15:00:00+00
Poolesville Elementary School,Montgomery,4,10/20/2021,15:00:00+00
Ridge Elementary School,St. Mary's,3,10/20/2021,15:00:00+00
Route 40 Elementary School,Garrett,3,10/20/2021,15:00:00+00
Seaside Christian Academy,Worcester,10,10/20/2021,15:00:00+00
Shady Spring Elementary School,Baltimore,11,10/20/2021,15:00:00+00
Shiloh Middle School,Carroll,2,10/20/2021,15:00:00+00
Shiloh Middle School,Carroll,2,10/20/2021,15:00:00+00
Showell Elementary School,Worcester,21,10/20/2021,15:00:00+00
Silver Oak Academy,Carroll,6,10/20/2021,15:00:00+00
Snow Hill Middle School,Worcester,25,10/20/2021,15:00:00+00
Somerset Intermediate School,Somerset,29,10/20/2021,15:00:00+00
South River High School,Anne Arundel,2,10/20/2021,15:00:00+00
South-Dorchester K-8,Dorchester,3,10/20/2021,15:00:00+00
Southern High School,Anne Arundel,3,10/20/2021,15:00:00+00
Southern Middle School,Anne Arundel,16,10/20/2021,15:00:00+00
Sparrows Point Middle School,Baltimore,2,10/20/2021,15:00:00+00
Spring Ridge Middle School,St. Mary's,49,10/20/2021,15:00:00+00
St. Charles High School,Charles,22,10/20/2021,15:00:00+00
St. Jerome Academy,Prince George's,20,10/20/2021,15:00:00+00
St. John the Evangelist Catholic School,Baltimore,7,10/20/2021,15:00:00+00
St. Louis School,Howard,3,10/20/2021,15:00:00+00
St. Mary's School,Charles,2,10/20/2021,15:00:00+00
St. Michael's Elementary School,Talbot,2,10/20/2021,15:00:00+00
St. Michael's Elementary School,St. Mary's,2,10/20/2021,15:00:00+00
St. Ursula Catholic School,Baltimore,39,10/20/2021,15:00:00+00
Stephen Decatur High School,Worcester,4,10/20/2021,15:00:00+00
Sudersville Middle School,Queen Anne's,9,10/20/2021,15:00:00+00
