School,CountyReport,Number_of_Total_Cases,ReportDate,Column
South Carroll High School,Carroll,4,2/24/2021,15:00:00+00
Spring Ridge Middle School,St. Mary's,2,2/24/2021,15:00:00+00
St. Martin's in the Field Episcopal School,Anne Arundel,2,2/24/2021,15:00:00+00
St. Paul's School,Baltimore,4,2/24/2021,15:00:00+00
The Country School,Talbot,5,2/24/2021,15:00:00+00
The Primary Day School,Montgomery,8,2/24/2021,15:00:00+00
Torah School of Greater Washington,Montgomery,2,2/24/2021,15:00:00+00
Arundel Christian School,Anne Arundel,3,3/3/2021,15:00:00+00
Bethel Christian Academy,Howard,5,3/3/2021,15:00:00+00
Calvary Baptist Church Academy,Anne Arundel,8,3/3/2021,15:00:00+00
Calvert Hall College High School,Baltimore,3,3/3/2021,15:00:00+00
Friends School of Baltimore,Baltimore City,2,3/3/2021,15:00:00+00
Mechanicsville Elementary School,Carroll,2,3/3/2021,15:00:00+00
Mt. Aetna Adventist School,Washington,2,3/3/2021,15:00:00+00
Mount Saint Joseph High School,Baltimore City,4,3/3/2021,15:00:00+00
Odenton Christian School,Anne Arundel,2,3/3/2021,15:00:00+00
Redeemer Classical Christian School,Baltimore,3,3/3/2021,15:00:00+00
Rosedale Baptist School,Baltimore,2,3/3/2021,15:00:00+00
South Carroll High School,Carroll,4,3/3/2021,15:00:00+00
Spring Ridge Middle School,St. Mary's,2,3/3/2021,15:00:00+00
Saint John's Catholic Preparatory School,Frederick,7,3/3/2021,15:00:00+00
St. Martin's in the Field Episcopal School,Anne Arundel,2,3/3/2021,15:00:00+00
St. Thomas More Academy,Frederick,6,3/3/2021,15:00:00+00
The Country School,Talbot,7,3/3/2021,15:00:00+00
Torah School of Greater Washington,Montgomery,2,3/3/2021,15:00:00+00
Arundel Christian School,Anne Arundel,3,3/3/2021,15:00:00+00
Bethel Christian Academy,Howard,5,3/3/2021,15:00:00+00
Calvary Baptist Church Academy,Anne Arundel,8,3/3/2021,15:00:00+00
Calvert Hall College High School,Baltimore,3,3/3/2021,15:00:00+00
Friends School of Baltimore,Baltimore City,2,3/3/2021,15:00:00+00
Mechanicsville Elementary School,Carroll,2,3/3/2021,15:00:00+00
Mt. Aetna Adventist School,Washington,2,3/3/2021,15:00:00+00
Mount Saint Joseph High School,Baltimore City,4,3/3/2021,15:00:00+00
Odenton Christian School,Anne Arundel,2,3/3/2021,15:00:00+00
Redeemer Classical Christian School,Baltimore,3,3/3/2021,15:00:00+00
Rosedale Baptist School,Baltimore,2,3/3/2021,15:00:00+00
South Carroll High School,Carroll,4,3/3/2021,15:00:00+00
Spring Ridge Middle School,St. Mary's,2,3/3/2021,15:00:00+00
Saint John's Catholic Preparatory School,Frederick,7,3/3/2021,15:00:00+00
St. Martin's in the Field Episcopal School,Anne Arundel,2,3/3/2021,15:00:00+00
St. Thomas More Academy,Frederick,6,3/3/2021,15:00:00+00
The Country School,Talbot,7,3/3/2021,15:00:00+00
Torah School of Greater Washington,Montgomery,2,3/3/2021,15:00:00+00
Arundel Christian School,Anne Arundel,3,3/10/2021,15:00:00+00
Boonsboro High School,Washington,4,3/10/2021,15:00:00+00
The Bryn Mawr School,Baltimore City,2,3/10/2021,15:00:00+00
Friendship Valley Elementary,Carroll,2,3/10/2021,15:00:00+00
Garrison Forest School,Baltimore,2,3/10/2021,15:00:00+00
Leith Walk Elementary/Middle School,Baltimore City,2,3/10/2021,15:00:00+00
Mechanicsville Elementary School,Carroll,5,3/10/2021,15:00:00+00
Mt. Aetna Adventist School,Washington,4,3/10/2021,15:00:00+00
Mount Saint Joseph High School,Baltimore City,4,3/10/2021,15:00:00+00
Ner Israel Rabbinical College,Baltimore,4,3/10/2021,15:00:00+00
Odenton Christian School,Anne Arundel,2,3/10/2021,15:00:00+00
Redeemer Classical Christian School,Baltimore,4,3/10/2021,15:00:00+00
Rosedale Baptist School,Baltimore,5,3/10/2021,15:00:00+00
Saint John's Catholic Preparatory School,Frederick,10,3/10/2021,15:00:00+00
St. Maria Goretti High School,Washington,4,3/10/2021,15:00:00+00
St. Michael - St. Clement School,Baltimore,3,3/10/2021,15:00:00+00
St. Thomas More Academy,Frederick,10,3/10/2021,15:00:00+00
St. Ursula School,Baltimore,2,3/10/2021,15:00:00+00
The Country School,Talbot,7,3/10/2021,15:00:00+00
West Frederick Middle School,Frederick,2,3/10/2021,15:00:00+00
Westminster High School,Carroll,7,3/10/2021,15:00:00+00
White Marsh Elementary School,St. Mary's,2,3/10/2021,15:00:00+00
Winters Mill High School,Carroll,2,3/10/2021,15:00:00+00
Yeshiva of Greater Washington,Montgomery,4,3/10/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,5,3/17/2021,15:00:00+00
Boonsboro High School,Washington,7,3/17/2021,15:00:00+00
The Bryn Mawr School,Baltimore City,2,3/17/2021,15:00:00+00
Clear Springs High School,Washington,3,3/17/2021,15:00:00+00
Francis Scott Key Elementary School,Baltimore City,3,3/17/2021,15:00:00+00
Hammond High School,Howard,2,3/17/2021,15:00:00+00
The John Carroll School,Harford,3,3/17/2021,15:00:00+00
KIPP Harmony Academy,Baltimore City,2,3/17/2021,15:00:00+00
Leith Walk Elementary/Middle School,Baltimore City,2,3/17/2021,15:00:00+00
Lincolnshire Elementary School,Washington,3,3/17/2021,15:00:00+00
Manchester Valley High School,Carroll,3,3/17/2021,15:00:00+00
Mechanicsville Elementary School,Carroll,5,3/17/2021,15:00:00+00
Mt. Aetna Adventist School,Washington,4,3/17/2021,15:00:00+00
Mount Saint Joseph High School,Baltimore City,9,3/17/2021,15:00:00+00
Ner Israel Rabbinical College,Baltimore,4,3/17/2021,15:00:00+00
Rosedale Baptist School,Baltimore,5,3/17/2021,15:00:00+00
Sabillasville Elementary School,Frederick,2,3/17/2021,15:00:00+00
Sparrows Point High School,Baltimore,6,3/17/2021,15:00:00+00
St. John Regional Catholic School,Frederick,2,3/17/2021,15:00:00+00
Saint John's Catholic Preparatory School,Frederick,10,3/17/2021,15:00:00+00
St. Maria Goretti High School,Washington,4,3/17/2021,15:00:00+00
St. Michael - St. Clement School,Baltimore,3,3/17/2021,15:00:00+00
St. Thomas More Academy,Frederick,15,3/17/2021,15:00:00+00
St. Ursula School,Baltimore,2,3/17/2021,15:00:00+00
Stepping Stones Learning Academy,Wicomico,6,3/17/2021,15:00:00+00
The Country School,Talbot,8,3/17/2021,15:00:00+00
Walt Whitman High School,Montgomery,4,3/17/2021,15:00:00+00
Westminster High School,Carroll,7,3/17/2021,15:00:00+00
White Marsh Elementary School,St. Mary's,2,3/17/2021,15:00:00+00
Winston Churchill High School,Montgomery,2,3/17/2021,15:00:00+00
Winters Mill High School,Carroll,2,3/17/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,9,3/24/2021,15:00:00+00
Boonsboro High School,Washington,10,3/24/2021,15:00:00+00
Clear Springs High School,Washington,3,3/24/2021,15:00:00+00
Francis Scott Key Elementary School,Baltimore City,3,3/24/2021,15:00:00+00
Frederick High School,Frederick,4,3/24/2021,15:00:00+00
Immaculate Conception School,Baltimore,6,3/24/2021,15:00:00+00
The John Carroll School,Harford,3,3/24/2021,15:00:00+00
KIPP Harmony Academy,Baltimore City,3,3/24/2021,15:00:00+00
Lincolnshire Elementary School,Washington,3,3/24/2021,15:00:00+00
Manchester Valley High School,Carroll,3,3/24/2021,15:00:00+00
Mt. Aetna Adventist School,Washington,4,3/24/2021,15:00:00+00
Odenton Christian School,Anne Arundel,10,3/24/2021,15:00:00+00
Parkside High School,Wicomico,4,3/24/2021,15:00:00+00
"Rochambeau, The French International School",Montgomery,2,3/24/2021,15:00:00+00
Sabillasville Elementary School,Frederick,2,3/24/2021,15:00:00+00
Snow Hill Middle School,Worcester,3,3/24/2021,15:00:00+00
St. John Regional Catholic School,Frederick,2,3/24/2021,15:00:00+00
St. Thomas More Academy,Frederick,15,3/24/2021,15:00:00+00
Stepping Stones Learning Academy,Wicomico,6,3/24/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,4,3/24/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,2,3/24/2021,15:00:00+00
The Norwood School,Montgomery,2,3/24/2021,15:00:00+00
Walt Whitman High School,Montgomery,4,3/24/2021,15:00:00+00
Waverly Elementary School,Howard,2,3/24/2021,15:00:00+00
Westminster High School,Carroll,9,3/24/2021,15:00:00+00
White Marsh Elementary School,St. Mary's,2,3/24/2021,15:00:00+00
Winston Churchill High School,Montgomery,2,3/24/2021,15:00:00+00
Winters Mill High School,Carroll,3,3/24/2021,15:00:00+00
Archbishop Curley High School,Baltimore City,2,3/31/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,9,3/31/2021,15:00:00+00
Bohemia Manor High School,Cecil,3,3/31/2021,15:00:00+00
Boonsboro High School,Washington,13,3/31/2021,15:00:00+00
Boys' Latin School of Maryland,Baltimore City,2,3/31/2021,15:00:00+00
Calvert Hall College High School,Baltimore,3,3/31/2021,15:00:00+00
Cecil County School of Technology,Cecil,3,3/31/2021,15:00:00+00
Century High School,Carroll,3,3/31/2021,15:00:00+00
From the Heart Christian School,Montgomery,8,3/31/2021,15:00:00+00
Gilpin Manor Elementary School,Cecil,2,3/31/2021,15:00:00+00
Governor Thomas Johnson High School,Frederick,5,3/31/2021,15:00:00+00
Holly Grove Christian School,Somerset,2,3/31/2021,15:00:00+00
Howard High School,Howard,2,3/31/2021,15:00:00+00
Immaculate Conception School,Baltimore,11,3/31/2021,15:00:00+00
The John Carroll School,Harford,3,3/31/2021,15:00:00+00
Liberty Christian School,Baltimore,2,3/31/2021,15:00:00+00
McDonogh School,Baltimore,2,3/31/2021,15:00:00+00
Mechanicsville Elementary School,Carroll,7,3/31/2021,15:00:00+00
Montgomery Blair High School,Montgomery,2,3/31/2021,15:00:00+00
Mt. Aetna Adventist School,Washington,4,3/31/2021,15:00:00+00
Odenton Christian School,Anne Arundel,11,3/31/2021,15:00:00+00
Orchard Grove Elementary School,Frederick,2,3/31/2021,15:00:00+00
Our Lady of Good Counsel High School,Montgomery,3,3/31/2021,15:00:00+00
Our Lady of Perpetual Help School,Howard,2,3/31/2021,15:00:00+00
Parkside High School,Wicomico,4,3/31/2021,15:00:00+00
Patapsco High School,Baltimore,2,3/31/2021,15:00:00+00
Pleasant Valley Elementary,Washington,2,3/31/2021,15:00:00+00
Rising Sun High School,Cecil,2,3/31/2021,15:00:00+00
River Hill High School,Howard,2,3/31/2021,15:00:00+00
"Rochambeau, The French International School",Montgomery,4,3/31/2021,15:00:00+00
Rock Church Academy,Baltimore,2,3/31/2021,15:00:00+00
Snow Hill Middle School,Worcester,6,3/31/2021,15:00:00+00
Stepping Stones Learning Academy,Wicomico,6,3/31/2021,15:00:00+00
Talbott Springs Elementary School,Howard,2,3/31/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,6,3/31/2021,15:00:00+00
The Norwood School,Montgomery,2,3/31/2021,15:00:00+00
Walkersville High School,Frederick,3,3/31/2021,15:00:00+00
White Marsh Elementary School,St. Mary's,2,3/31/2021,15:00:00+00
Williamsport High School,Washington,6,3/31/2021,15:00:00+00
Winston Churchill High School,Montgomery,2,3/31/2021,15:00:00+00
Archbishop Curley High School,Baltimore City,2,4/7/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,9,4/7/2021,15:00:00+00
Bohemia Manor High School,Cecil,3,4/7/2021,15:00:00+00
Boonsboro High School,Washington,14,4/7/2021,15:00:00+00
Boys' Latin School of Maryland,Baltimore City,4,4/7/2021,15:00:00+00
Calvert Hall College High School,Baltimore,6,4/7/2021,15:00:00+00
Catonsville High School,Baltimore,2,4/7/2021,15:00:00+00
Cecil County School of Technology,Cecil,3,4/7/2021,15:00:00+00
Century High School,Carroll,3,4/7/2021,15:00:00+00
Concordia Preparatory School,Baltimore,3,4/7/2021,15:00:00+00
Eastern Technical High School,Baltimore,2,4/7/2021,15:00:00+00
Forest Lakes Elementary School,Harford,2,4/7/2021,15:00:00+00
From the Heart Christian School,Montgomery,8,4/7/2021,15:00:00+00
Gilpin Manor Elementary School,Cecil,2,4/7/2021,15:00:00+00
Governor Thomas Johnson High School,Frederick,5,4/7/2021,15:00:00+00
Great Mills High School,St. Mary's,2,4/7/2021,15:00:00+00
Holly Grove Christian School,Somerset,4,4/7/2021,15:00:00+00
Howard High School,Howard,2,4/7/2021,15:00:00+00
Immaculate Conception School,Baltimore,9,4/7/2021,15:00:00+00
The John Carroll School,Harford,5,4/7/2021,15:00:00+00
Laurel Hall,Washington,2,4/7/2021,15:00:00+00
Liberty Christian School,Baltimore,2,4/7/2021,15:00:00+00
McDonogh School,Baltimore,3,4/7/2021,15:00:00+00
Montgomery Blair High School,Montgomery,2,4/7/2021,15:00:00+00
North Caroline High School,Caroline,3,4/7/2021,15:00:00+00
North Dorchester Middle School,Dorchester,2,4/7/2021,15:00:00+00
Oakdale High School,Frederick,2,4/7/2021,15:00:00+00
Orchard Grove Elementary School,Frederick,2,4/7/2021,15:00:00+00
Our Lady of Good Counsel High School,Montgomery,3,4/7/2021,15:00:00+00
Our Lady of Lourdes School,Montgomery,3,4/7/2021,15:00:00+00
Our Lady of Perpetual Help School,Howard,2,4/7/2021,15:00:00+00
Pleasant Valley Elementary,Washington,3,4/7/2021,15:00:00+00
Rising Sun High School,Cecil,2,4/7/2021,15:00:00+00
Sherwood High School,Montgomery,2,4/7/2021,15:00:00+00
Snow Hill Middle School,Worcester,6,4/7/2021,15:00:00+00
Springfield Middle School,Washington,2,4/7/2021,15:00:00+00
St. John the Evangelist Catholic School,Anne Arundel,6,4/7/2021,15:00:00+00
Stephen Decatur High School,Worcester,4,4/7/2021,15:00:00+00
Talbott Springs Elementary School,Howard,4,4/7/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,6,4/7/2021,15:00:00+00
The Heights School,Montgomery,2,4/7/2021,15:00:00+00
Walkersville High School,Frederick,6,4/7/2021,15:00:00+00
Williamsport High School,Washington,13,4/7/2021,15:00:00+00
Archbishop Curley High School,Baltimore City,2,4/13/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,9,4/13/2021,15:00:00+00
Beall Elementary School,Allegany,5,4/13/2021,15:00:00+00
Bellows Spring Elementary School,Howard,3,4/13/2021,15:00:00+00
Boonsboro High School,Washington,14,4/13/2021,15:00:00+00
Boys' Latin School of Maryland,Baltimore City,4,4/13/2021,15:00:00+00
Calvert Hall College High School,Baltimore,6,4/13/2021,15:00:00+00
Catonsville High School,Baltimore,2,4/13/2021,15:00:00+00
Century High School,Carroll,3,4/13/2021,15:00:00+00
Chopticon High School,St. Mary's,2,4/13/2021,15:00:00+00
Concordia Preparatory School,Baltimore,4,4/13/2021,15:00:00+00
Eastern Elementary School,Washington,3,4/13/2021,15:00:00+00
Eastern Technical High School,Baltimore,3,4/13/2021,15:00:00+00
Forest Lakes Elementary School,Harford,3,4/13/2021,15:00:00+00
Fulton Elementary School,Howard,5,4/13/2021,15:00:00+00
Great Mills High School,St. Mary's,2,4/13/2021,15:00:00+00
Great Seneca Creek Elementary School,Montgomery,2,4/13/2021,15:00:00+00
Howard High School,Howard,2,4/13/2021,15:00:00+00
Laurel Hall School,Washington,2,4/13/2021,15:00:00+00
Mace's Lane Middle School,Dorchester,3,4/13/2021,15:00:00+00
Marriotts Ridge High School,Howard,2,4/13/2021,15:00:00+00
McDonogh School,Baltimore,3,4/13/2021,15:00:00+00
North Caroline High School,Caroline,3,4/13/2021,15:00:00+00
North Dorchester Middle School,Dorchester,2,4/13/2021,15:00:00+00
Our Lady of Lourdes School,Montgomery,3,4/13/2021,15:00:00+00
Patterson Mill Middle High School,Harford,3,4/13/2021,15:00:00+00
Paul Laurence Dunbar High School,Baltimore City,2,4/13/2021,15:00:00+00
Rising Sun High School,Cecil,2,4/13/2021,15:00:00+00
Smithsburg High School,Washington,2,4/13/2021,15:00:00+00
Somerset Intermediate School,Somerset,2,4/13/2021,15:00:00+00
Springfield Middle School,Washington,2,4/13/2021,15:00:00+00
St. John the Evangelist Catholic School,Anne Arundel,6,4/13/2021,15:00:00+00
St. Mary's School,Washington,2,4/13/2021,15:00:00+00
Stephen Decatur High School,Worcester,5,4/13/2021,15:00:00+00
Talbott Springs Elementary School,Howard,4,4/13/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,7,4/13/2021,15:00:00+00
The Heights School,Montgomery,2,4/13/2021,15:00:00+00
The Odyssey School,Baltimore,5,4/13/2021,15:00:00+00
Walkersville High School,Frederick,6,4/13/2021,15:00:00+00
Williamsport High School,Washington,18,4/13/2021,15:00:00+00
Beall Elementary School,Allegany,5,4/21/2021,15:00:00+00
Bel Air Elementary School,Harford,2,4/21/2021,15:00:00+00
Bnos Yisroel of Baltimore,Baltimore City,10,4/21/2021,15:00:00+00
Boonsboro High School,Washington,16,4/21/2021,15:00:00+00
Broadfording Christian Academy,Washington,2,4/21/2021,15:00:00+00
Centreville Middle School,Queen Anne's,3,4/21/2021,15:00:00+00
Chopticon High School,St. Mary's,3,4/21/2021,15:00:00+00
Concordia Preparatory School,Baltimore,9,4/21/2021,15:00:00+00
Eastern Elementary School,Washington,3,4/21/2021,15:00:00+00
Eastern Technical High School,Baltimore,5,4/21/2021,15:00:00+00
Forest Lakes Elementary School,Harford,3,4/21/2021,15:00:00+00
Fulton Elementary School,Howard,6,4/21/2021,15:00:00+00
Golden Ring Middle School,Baltimore,2,4/21/2021,15:00:00+00
Great Seneca Creek Elementary School,Montgomery,2,4/21/2021,15:00:00+00
Honeygo Elementary School,Baltimore,2,4/21/2021,15:00:00+00
Lincolnshire Elementary School,Washington,3,4/21/2021,15:00:00+00
Mace's Lane Middle School,Dorchester,5,4/21/2021,15:00:00+00
Marriotts Ridge High School,Howard,2,4/21/2021,15:00:00+00
Mount St. Joseph High School,Baltimore City,2,4/21/2021,15:00:00+00
New Market Middle School,Frederick,5,4/21/2021,15:00:00+00
North Caroline High School,Caroline,3,4/21/2021,15:00:00+00
Northern Middle School,Washington,2,4/21/2021,15:00:00+00
Patterson Mill Middle High School,Harford,3,4/21/2021,15:00:00+00
Paul Laurence Dunbar High School,Baltimore City,4,4/21/2021,15:00:00+00
Rachel Carson Elementary School,Montgomery,2,4/21/2021,15:00:00+00
Redeemer Classical Christian School,Baltimore,4,4/21/2021,15:00:00+00
Rising Sun High School,Cecil,2,4/21/2021,15:00:00+00
River Hill High School,Howard,4,4/21/2021,15:00:00+00
Rosedale Baptist School,Baltimore,3,4/21/2021,15:00:00+00
Smithsburg High School,Washington,4,4/21/2021,15:00:00+00
Somerset Intermediate School,Somerset,2,4/21/2021,15:00:00+00
South Hagerstown High School,Washington,2,4/21/2021,15:00:00+00
Sparrows Point High School,Baltimore,4,4/21/2021,15:00:00+00
St. Mary Catholic School,Washington,2,4/21/2021,15:00:00+00
St. Paul School for Girls,Baltimore,4,4/21/2021,15:00:00+00
St. Paul's School,Baltimore,3,4/21/2021,15:00:00+00
Stephen Decatur High School,Worcester,24,4/21/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,8,4/21/2021,15:00:00+00
The Heights School,Montgomery,3,4/21/2021,15:00:00+00
The Jemicy School,Baltimore,2,4/21/2021,15:00:00+00
The Odyssey School,Baltimore,5,4/21/2021,15:00:00+00
Towson High School,Baltimore,7,4/21/2021,15:00:00+00
Williamsport High School,Washington,22,4/21/2021,15:00:00+00
Bainbridge Elementary School,Cecil,2,4/28/2021,15:00:00+00
Baltimore Design School,Baltimore City,6,4/28/2021,15:00:00+00
Bel Air Middle School,Harford,2,4/28/2021,15:00:00+00
Boonsboro High School,Washington,17,4/28/2021,15:00:00+00
Broadfording Christian Academy,Washington,3,4/28/2021,15:00:00+00
Bryant Woods Elementary School,Howard,2,4/28/2021,15:00:00+00
Calvert Hall College High School,Baltimore,9,4/28/2021,15:00:00+00
Catonsville High School,Baltimore,5,4/28/2021,15:00:00+00
Centreville Middle School,Queen Anne's,3,4/28/2021,15:00:00+00
Choptank Elementary School,Dorchester,5,4/28/2021,15:00:00+00
Concordia Preparatory School,Baltimore,9,4/28/2021,15:00:00+00
Eastern Technical High School,Baltimore,5,4/28/2021,15:00:00+00
Forest Lakes Elementary School,Harford,5,4/28/2021,15:00:00+00
Frederick High School,Frederick,4,4/28/2021,15:00:00+00
Huber Academy,Baltimore City,2,4/28/2021,15:00:00+00
John Carroll High School,Harford,9,4/28/2021,15:00:00+00
Leonardtown Middle School,St. Mary's,4,4/28/2021,15:00:00+00
Lincolnshire Elementary School,Washington,13,4/28/2021,15:00:00+00
Mace's Lane Middle School,Dorchester,12,4/28/2021,15:00:00+00
Matapeake Elementary School,Queen Anne's,2,4/28/2021,15:00:00+00
McDonogh School,Baltimore,5,4/28/2021,15:00:00+00
Monarch Academy Annapolis,Anne Arundel,2,4/28/2021,15:00:00+00
New Market Middle School,Frederick,5,4/28/2021,15:00:00+00
North Dorchester Middle School,Dorchester,5,4/28/2021,15:00:00+00
Northern Middle School,Washington,2,4/28/2021,15:00:00+00
Rachel Carson Elementary School,Montgomery,2,4/28/2021,15:00:00+00
Reach Partnership School,Baltimore City,2,4/28/2021,15:00:00+00
Scotts Branch Elementary School,Baltimore,3,4/28/2021,15:00:00+00
Smithsburg High School,Washington,6,4/28/2021,15:00:00+00
South Hagerstown High School,Washington,2,4/28/2021,15:00:00+00
Sparrows Point High School,Baltimore,4,4/28/2021,15:00:00+00
Springfield Middle School,Washington,6,4/28/2021,15:00:00+00
St. Mary's School,Anne Arundel,13,4/28/2021,15:00:00+00
St. Paul's School,Baltimore,7,4/28/2021,15:00:00+00
Stephen Decatur High School,Worcester,24,4/28/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,8,4/28/2021,15:00:00+00
Thomson Estates Elementary School,Cecil,2,4/28/2021,15:00:00+00
Towson High School,Baltimore,7,4/28/2021,15:00:00+00
Urbana High School,Frederick,4,4/28/2021,15:00:00+00
Williamsport High School,Washington,25,4/28/2021,15:00:00+00
Bainbridge Elementary School,Cecil,4,5/5/2021,15:00:00+00
Baltimore Design School,Baltimore City,6,5/5/2021,15:00:00+00
Barbara Ingram School,Washington,4,5/5/2021,15:00:00+00
Bel Air Middle School,Harford,2,5/5/2021,15:00:00+00
Berlin Intermediate School,Worcester,2,5/5/2021,15:00:00+00
Bethel Christian Academy,Howard,4,5/5/2021,15:00:00+00
Bryant Woods Elementary School,Howard,2,5/5/2021,15:00:00+00
Calvary Christian Academy,Allegany,3,5/5/2021,15:00:00+00
Calvert Hall College High School,Baltimore,9,5/5/2021,15:00:00+00
Carroll County Career Technology Center,Carroll,2,5/5/2021,15:00:00+00
Catonsville High School,Baltimore,5,5/5/2021,15:00:00+00
Cecilton Elementary School,Cecil,2,5/5/2021,15:00:00+00
Choptank Elementary School,Dorchester,7,5/5/2021,15:00:00+00
Fallston High School,Harford,2,5/5/2021,15:00:00+00
Forest Lakes Elementary School,Harford,5,5/5/2021,15:00:00+00
Frederick High School,Frederick,4,5/5/2021,15:00:00+00
Fulton Elementary School,Howard,8,5/5/2021,15:00:00+00
Hancock Elementary School,Washington,2,5/5/2021,15:00:00+00
Hope Academy,Baltimore City,5,5/5/2021,15:00:00+00
John Carroll High School,Harford,11,5/5/2021,15:00:00+00
Kent County High School,Kent,2,5/5/2021,15:00:00+00
KIPP Academy,Baltimore City,2,5/5/2021,15:00:00+00
Leonardtown Middle School,St. Mary's,4,5/5/2021,15:00:00+00
Liberty High School,Carroll,4,5/5/2021,15:00:00+00
Lincolnshire Elementary School,Washington,19,5/5/2021,15:00:00+00
Matapeake Elementary School,Queen Anne's,2,5/5/2021,15:00:00+00
McLean School,Montgomery,2,5/5/2021,15:00:00+00
New Market Middle School,Frederick,6,5/5/2021,15:00:00+00
North Dorchester Middle School,Dorchester,5,5/5/2021,15:00:00+00
Perryville Elementary School,Cecil,2,5/5/2021,15:00:00+00
Rachel Carson Elementary School,Montgomery,2,5/5/2021,15:00:00+00
Reach Partnership School,Baltimore City,2,5/5/2021,15:00:00+00
Renaissance Academy,Baltimore City,2,5/5/2021,15:00:00+00
Ring Factory Elementary School,Harford,2,5/5/2021,15:00:00+00
Roland Park Elementary/Middle,Baltimore City,2,5/5/2021,15:00:00+00
Rosedale Baptist School,Baltimore,5,5/5/2021,15:00:00+00
Scotts Branch Elementary School,Baltimore,3,5/5/2021,15:00:00+00
Smithsburg High School,Washington,6,5/5/2021,15:00:00+00
Springfield Middle School,Washington,9,5/5/2021,15:00:00+00
St. Mary's School,Anne Arundel,16,5/5/2021,15:00:00+00
St. Paul's School,Baltimore,7,5/5/2021,15:00:00+00
Stephen Decatur Middle School,Worcester,2,5/5/2021,15:00:00+00
Stephen Decatur High School,Worcester,21,5/5/2021,15:00:00+00
Sudbrook Magnet Middle School,Baltimore,2,5/5/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,3,5/5/2021,15:00:00+00
The SEED School,Baltimore City,3,5/5/2021,15:00:00+00
Tri-State Christian Academy,Cecil,2,5/5/2021,15:00:00+00
Urbana High School,Frederick,4,5/5/2021,15:00:00+00
Vincent Farms Elementary School,Baltimore,2,5/5/2021,15:00:00+00
Westminster High School,Carroll,3,5/5/2021,15:00:00+00
Williamsport High School,Washington,30,5/5/2021,15:00:00+00
Youth Benefit Elementary School,Harford,3,5/5/2021,15:00:00+00
Bainbridge Elementary School,Cecil,5,5/12/2021,15:00:00+00
Bais Yaakov Eva Winer High School,Baltimore,2,5/12/2021,15:00:00+00
Barbara Ingram School,Washington,4,5/12/2021,15:00:00+00
Beall Elementary School,Montgomery,2,5/12/2021,15:00:00+00
Berlin Intermediate School,Worcester,2,5/12/2021,15:00:00+00
Bethel Christian Academy,Howard,10,5/12/2021,15:00:00+00
Brunswick High School,Frederick,3,5/12/2021,15:00:00+00
Carroll County Career Technology Center,Carroll,2,5/12/2021,15:00:00+00
Cecilton Elementary School,Cecil,2,5/12/2021,15:00:00+00
Cedar Lane School,Howard,2,5/12/2021,15:00:00+00
Choptank Elementary School,Dorchester,12,5/12/2021,15:00:00+00
DeMatha Catholic High School,Prince George's,2,5/12/2021,15:00:00+00
Fulton Elementary School,Howard,8,5/12/2021,15:00:00+00
Hancock Elementary School,Washington,2,5/12/2021,15:00:00+00
Hickory Elementary School,Harford,2,5/12/2021,15:00:00+00
John Carroll High School,Harford,11,5/12/2021,15:00:00+00
Kent County High School,Kent,2,5/12/2021,15:00:00+00
Kings Christian Academy,St. Mary's,2,5/12/2021,15:00:00+00
Landon School,Montgomery,2,5/12/2021,15:00:00+00
Leonardtown Middle School,St. Mary's,5,5/12/2021,15:00:00+00
Lighthouse Christian School,Allegany,7,5/12/2021,15:00:00+00
Lincolnshire Elementary School,Washington,19,5/12/2021,15:00:00+00
Mount De Sales High School,Baltimore,5,5/12/2021,15:00:00+00
Mt. Airy Elementary School,Carroll,2,5/12/2021,15:00:00+00
Perryville Elementary School,Cecil,2,5/12/2021,15:00:00+00
Pittsville Elementary & Middle School,Wicomico,2,5/12/2021,15:00:00+00
Ring Factory Elementary School,Harford,2,5/12/2021,15:00:00+00
Roland Park Elementary/Middle,Baltimore City,2,5/12/2021,15:00:00+00
Rosedale Baptist School,Baltimore,8,5/12/2021,15:00:00+00
Salisbury Christian School,Wicomico,2,5/12/2021,15:00:00+00
Springfield Middle School,Washington,10,5/12/2021,15:00:00+00
St. Mary's School,Anne Arundel,16,5/12/2021,15:00:00+00
Stephen Decatur High School,Worcester,23,5/12/2021,15:00:00+00
Stephen Decatur Middle School,Worcester,2,5/12/2021,15:00:00+00
Sudbrook Magnet Middle School,Baltimore,2,5/12/2021,15:00:00+00
Talmudical Academy of Baltimore,Baltimore,3,5/12/2021,15:00:00+00
The SEED School,Baltimore City,8,5/12/2021,15:00:00+00
